"cs_gb","cv","gpp_gb","nbp","npp_n_gb","runoff"
385260923095841,17870155763962.3,2671162.96473437,207379219644.642,30832690528919.2,1113920484.64048
640987728821402,407059213692542,3339826.95036738,727655982182.153,37769117736274.3,1087212729.19788
1013402413091069,436820327.190195,2.66343165998682,-318109325.918656,-43479.5849445005,33329222.1676539
970933829305213,43642120131617.8,4170983.33191004,142830145910.894,49193400296061.7,1025367612.91842
593473561076171,82996264489808.8,3725825.21199904,590211600592.815,32460074448465.2,1011770576.42213
205004179218058,10057628377469.1,1602745.00056008,36293823747.7585,9207636542633.09,1241039968.01751
1438282196843180,141151148579413,3826641.22759688,294161574576.423,67200443157196,1041769113.03372
631748670120378,135030856502177,2566556.78884572,304256201467.459,29171145460758.3,1024580697.50843
1146926140188761,345830384098.315,17413.8003415356,19151822236.119,201890109266.658,35422829.0592886
311876213897692,228032862441532,3114845.26902437,407881025408.146,31321148833324.6,1226768111.62849
776203176347002,21879129974382.7,4704922.99257352,-226479884928.099,76902522374959.1,1032996570.11876
238099107493841,25987977149086.8,2189604.80015215,94913473738.4212,25679749279295.7,864806678.431442
523171439614241,17239318030077.5,3585078.39515506,371107330323.63,30008280779663.5,1045579390.47721
440895660808215,50836539339776.4,2028797.8787941,425857543505.704,17697839224943.7,1182807786.64626
947423710217461,55960747445.8076,6882.26239618432,2554691386.74956,91795425605.6872,23504055.567943
1272601045901741,202068477344179,2859968.80862922,1348959997441.13,34588657376146.6,958030321.191569
384900040924944,161098306691856,2660527.38976095,467184809202.227,33853622899917.1,1093631594.41039
179524229283764,8533269754429.05,1626566.43441473,56615088915.2304,21025073028115,1265476813.38984
184887691177557,29390459040169.8,1820988.57785691,-126019396991.449,23678950347401.5,1061934130.18795
1360287587580960,412406103988015,2337292.69517482,1941708103691.42,44223663448709.5,673819401.033259
161865115329343,9380013311249.75,1606514.96539925,14879626994.1268,23648417198903.1,1380027127.80816
220467313105395,154754548134935,3003992.82430248,600596232772.683,22954097130362.5,1026961354.67368
1058363231538170,408571594918.165,8230.90349199866,5900378607.96022,111675312611.227,9493252.00381896
1367994769040422,24938593549416.9,5760533.36931018,375149082952.915,49723119508936.1,1141501416.775
1162949649648135,162165976515.974,2428.91953601929,4523498467.1455,45785435164.7772,2996262.24855345
1010002581154153,335803877096477,4915151.46763786,1734731505660.63,34000819006540,1171347773.14275
882708626701775,404990816532705,4413765.42935012,1745327889589.2,57203123214752.5,814196355.399703
1238053638761991,807705491663.76,134384.56449571,44743484013.3152,2022331055350.54,42485434.287929
1334713717601898,77501013127500.8,630580.335421942,630961928674.522,10292432500876.9,86365326.3526509
978227550594160,82394634285.8624,4490.69182416277,2285443432.71126,64710030606.8084,118771890.50033
42976957160947.4,38949584109163,471473.057291803,202480217669.093,5088433885117.89,1439543015.88464
1029609179874425,318606801463.786,5576.44933916527,2452463953.64154,42943456119.3194,109313388.282069
897308128135800,333645970914559,2298392.39416684,990283748925.886,41338307460793.5,448229113.858733
414265492503386,8900374248267.36,2011964.97129964,-58999362881.983,11837876321599.7,1403083011.99893
NA,NA,NA,NA,NA,NA
963743537391134,2406929424522.22,467176.17053623,128280202617.955,5474222628954.36,119624078.178085
1112958446681025,25028531500164,214297.391301245,252759674836.59,2263860327797.11,56729283.6931143
865863364008924,473370951770.607,84817.6445838376,7886605261.65664,953264833304.183,37312774.4721759
1176290497285453,27104976487.9881,437.653732686592,354381456.011978,7420567963.26865,5302907.71895961
286977988740212,205268335965343,2888455.77733061,491379651595.639,29603659982398.5,1131741439.88445
673179334373915,135131733456627,1821081.33402456,660359903289.548,15509752517037.2,1132492655.81854
259132160092919,9130506655684.82,2021169.98582507,22061291752.966,15100704825916.2,1112345925.89311
247568526386836,38331584353134.2,1398309.56371251,232125248457.174,11541278875391,1245333530.95624
999142093271254,700730695700605,2310535.26065122,2036110769463.85,31989074915131,1211265463.55534
1072102408146423,558749342910320,6295306.91845186,2466189417656.92,79410598403589,957414984.350082
903563923473047,49286481552743.4,5763948.9793729,-203768960587.805,79856313877017.5,1044368173.5587
1093171955241998,3639268650767.13,121429.399257712,46914586768.4425,2116681001030.33,33532158.1269957
NA,NA,NA,NA,NA,NA
537218773969256,114962819061322,3461445.67345839,472009579274.954,49652173178697.2,1008077118.86907
1133259342915450,6281776930739.02,82813.2326807253,53391408721.9272,1181060240658.35,44930853.209372
1107563477897069,2118178089301.5,57299.2941142613,27548407946.6619,647908482969.26,45747528.7413473
1099825507117409,399251110540602,5261707.2068401,930591708524.866,57160981932315.7,1374795942.30628
970094129230293,33927667345723.9,5000210.06938015,-91797517199.6709,88460828361657.2,1145944802.02763
135265390655661,26665698063167.5,2129774.2583353,275956482528.077,17932822321784.3,1325886197.21745
233603106749163,56189303441624.1,1504058.11545977,232949443114.081,15785240383049.8,1235883115.5486
662535149788886,187749802581464,3541780.65904173,818398228007.534,33178961189511.5,987758408.925368
183048231123987,4398109489449.6,886025.236513413,52848824880.7135,7275902851359.92,1322767062.80925
405136521461356,387565790091151,3233626.65479644,1425716263633.24,32428014239079.9,1155091934.5773
541963699192456,311235589660739,3168334.57738578,1222728641398.63,42681910073243.2,996415362.41625
450446921825532,243944351915292,4847735.94293863,928629204637.017,48432120741878.6,889049748.892875
382592552712630,77256510848734.9,4236862.45412272,528391711713.333,34954094423517.8,943170492.718054
2406370819666008,251138088374897,4564723.66847,3016501561337.44,66730830410545.8,692767218.479318
1243580132333580,166712937853862,3499682.49310811,838223079681.053,37857126374828.7,966246827.118931
1131874782030681,33093031491.6361,4913.00741944099,5244257874.51507,63384835575.1966,7840673.63516612
1643857192702154,540264388587806,5262594.5590202,1959400152881.81,67035548560081.5,1053908768.68851
891801642603258,321348366314.679,20517.5420580101,1880587769.23088,335187471887.922,195075325.581495
1176596548297302,328638426.864537,0.04271389539564,-472389100.211089,362503.319705841,3558916.06877293
544179271110470,653449478853420,3958013.1175251,1760685661660.56,66017274426510.9,1123470716.37811
1150800205101732,216187867097.375,1754.92971819251,768081493.129118,16392400184.0341,2626216.55338563
137763683861192,5798306946463.38,1045221.903026,-3380971818.81418,10568143955349.3,1384950786.77116
1146993198166082,407122244451.286,29814.4814324291,11559947804.9979,231562256920.309,17269335.5932256
164077656890386,10469496419528.5,2134919.52589701,166410526076.816,26591249943657.6,1209177471.37139
777696085295646,2420428464953.09,499696.625194051,-31738440029.6736,5581224760176.2,218199559.328598
520367043485606,1084809806138324,4474797.06266856,2316864931882.62,38883898370974.5,862229510.700143
1165066196419142,774350026.82388,91.1438159685936,-66596307.3683539,1311184721.48067,5723584.64313237
1777542580353225,740646736248614,5237796.9549473,2512357052458.31,66560819553253.5,1084180159.36896
1923498895783299,875475316436674,6263831.52993887,2847279211323.26,74077339822378,905776697.842965
907412066227033,208251101011.582,7590.03061515037,1474250555.95081,94838165672.9503,165502388.765281
1177041509857365,0,0,0,0,0
2333031139595536,40777664345430.1,5866047.76758693,335541939711.656,61905504498780.2,1038742957.81245
1458812116269124,33387881284033.7,5201079.56804409,-223611382613.834,104042428685877,909789758.621154
239396207708810,59728437493073.2,1935849.52438631,-884700252807.304,24906114551133.4,903202766.579173
891611390750190,234836914520191,2357804.27110704,1059740735623.69,22562927436063.8,771308112.805787
36567097268157.4,912067901018.181,134457.519480641,-24380084252.301,1729137982187.07,1362430991.98746
1232835267903152,68291552584598.4,5175675.79682098,217080182019.222,67785806378466.5,796041134.911166
1071487328811099,1049634432035.66,49576.7126995309,4520183413.37765,664219678064.904,59868413.1549389
1023816263265445,22381602469.5256,1508.71672348365,1326644379.9469,23075933578.1775,2336706.99611041
3836235315046240,394603389166347,7013296.3191609,2629844668118.26,134210122070779,911628473.388939
1070062285946576,31426154145306.3,5935926.24371559,-629726917113.287,107086360986929,1355336673.46266
172897723129064,11838468219478,3163201.52964644,110933662337.086,25439574660840.3,1388453189.58757
3797502259556587,433667910245417,3306717.69907455,-58288167672727.6,38212948656837,749127783.08232
288424563541882,12694790098872.4,2359641.75112968,25249506292.4281,26774602856418.6,1192184619.20874
999396619591323,333979904819333,2636676.24125007,1671310282562.7,27445374989185,1160932381.68615
369269179330873,24406160614407.1,2263155.51345944,-15769492787.8293,32112267882604,1418403373.73481
1038984547958886,217511873852.806,32088.9577490742,7900881038.19825,174485843264.31,15815986.9277243
832930017382772,405323895043034,3486273.40276569,1568964948547.43,45486209107279,1071322385.26495
997432006998086,698892321105487,5280777.05671739,2501503175780.25,56048831638867.1,830937448.690951
557418741710397,61059383923806.3,2878089.28191502,272351082894.185,40366111654423.3,1038505659.8758
316204363841942,465896814884028,3796629.75017588,1630465341732.51,36099097932645.5,795691614.2237
1131226628500685,524908470351717,3371134.75905646,1964870344542.13,48711011479671.6,885396379.008268
293398404757908,13727439264704.3,2984729.91621035,-30600355955.6522,36367128072406.5,1108607298.77319
604585234935495,168278327793727,4491299.99529946,970593220429.123,49095618264359.6,797302063.909059
505557442162195,172569863711683,4167004.72699734,824467185291.849,48606345897894,922565788.5081
533021864330148,151711727721358,4035035.95653973,789717442984.21,34734918131900.1,983163951.873479
608556772666140,16444343981594.8,3232472.29561209,40905593981.0666,41217929831038.3,990463474.420791
688532391957593,263686996407064,4340401.09923554,1298076744972.48,40202060772214.1,948366994.921139
1037694915577936,467584843888605,3887602.26547405,2219713149519.03,53199106606937.2,641639371.860987
528790982941896,524108194468934,3739113.41764394,1994611167627.63,39863316197711.2,1003467621.52186
504937561210316,176293128103399,3657610.85665259,721223878118.25,31872673025053,1129800640.94673
609495749558352,66695344775166.3,3298765.19240304,236487442796.62,47989069041926.6,1099932727.53287
1407144594528407,120827542820736,3816181.78937794,1191583740671.33,49774156382464.3,902076916.769506
860576697974558,1064328944472.18,58813.2107671513,24447942792.0961,759687630067.838,19976343.6672745
1091566456171290,482002979864113,5569548.02211951,1739734872673.6,63619690748081.8,1087682039.7835
482617517497698,361706582101619,4220951.74036347,1288606875705.39,53053028928755.4,915662853.930479
280823923106926,89736878015978.5,2800461.99074581,277617149748.752,29124901592370.5,1198241021.5042
